Genes	Diseases	Mutations	Chemicals	Species	PMID
Notch>4851;4853;4854;4855,NOTCH1>4851,NOTCH2>4853,NOTCH3>4854,NOTCH4>4855,KDM6A>7403,KMT2C>58508,MLL3>58508,ARID1B>57492,TERT>7015,MYB>4602,MYBL1>4603	adenoid cystic carcinoma>MESH:D003528,cystic carcinoma>MESH:D003528,malignancy>MESH:D009369,tumors>MESH:D009369,FUNDINGAdenoid Cystic Carcinoma>MESH:D003528		CA205426>MESH:D015295,CA232097>MESH:D015295,DE024774>MESH:C042783,DE027738>MESH:C042783		31483290
				Patient>9606,patient>9606	31483282
KRAS>3845,MPC1>51660,MPC2>25874	glycolysis>MESH:C564972,pancreatic cancer>MESH:D010190,pancreatic ductal adenocarcinoma>MESH:D021441,cancer>MESH:D009369,Glycolytic tumors>MESH:D009369,cholesterogenic tumors>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369		cholesterol>MESH:D002784,pyruvate>MESH:D011773	patient>9606,Patients>9606	31481506
MDM2>4193,CDK4>1019,PDGFRA>5156,NOTCH2>4853,CDKN2A>1029,CDKN2B>1030,ATM>472,ATR>545,PTCH1>5727,PDGFRB>5159,PDE4DIP>9659,MRPS30>10884,ARID2>196528	Sarcoma>MESH:D012509,sarcomas>MESH:D012509,tumors>MESH:D009369,cancer>MESH:D009369,Cancer>MESH:D009369,Neoplasia>MESH:D009369,sarcoma>MESH:D012509,tumor>MESH:D009369			patients>9606	31480474
TP53>7157,PIK3CA>5290,NRAS>4893,BRAF>673	Gastric Cancer>MESH:D013274,Gastric cancer>MESH:D013274,tumor>MESH:D009369,TMA>MESH:D014652			Patients>9606,patients>9606,Epstein-Barr virus>10376,EBV>10376	31480291
	chronic disease>MESH:D002908			Child>9606,children>9606	31479350
				patients>9606	31478310
				human>9606	31478173
RoR>100885779	psychiatric disorders>MESH:D001523,psychiatric disorder>MESH:D001523,psychiatric>MESH:D001523			participants>9606,participant>9606	31477844
	infectious disease>MESH:D003141,Kenneth's landfall>MESH:D010300,movement of infected>MESH:D020820		cyclones>MESH:C009440		31477186
BRCA1>672,BRCA2>675,ERBB2>2064,TP53>7157	breast cancer>MESH:D001943,cancer>MESH:D009369,tumor>MESH:D009369			patient>9606	31477031
TP53>7157,KRAS>3845,ARID1A>8289,IDH1>3417,IDH1/2>3417;3418,ERBB2>2064	advanced biliary tract cancer>MESH:D001661,biliary tract cancer>MESH:D001661,gallbladder cancer>MESH:D005706,intrahepatic cholangiocarcinoma>MESH:C535533,extrahepatic cholangiocarcinoma>MESH:D018281		platinum>MESH:D010984	patients>9606,Patients>9606	31476489
EGFR>1956,BRAF>673,HER2>2064,BRCA1/2>672;675,PALB2>79728,POLD1>5424	colorectal cancer>MESH:D015179,CRC>MESH:D015179,cancer>MESH:D009369			patient>9606,patients>9606,Patients>9606	31475851
	myocardial infarction>MESH:D009203,bleeding>MESH:D006470,MI and bleeding>MESH:D006470			patients>9606	31474410
	chronic disease>MESH:D002908,death>MESH:D003643,diabetes>MESH:D003920,hypertension>MESH:D006973,hyperlipidemia>MESH:D006949		carbon monoxide>MESH:D002248,cotinine>MESH:D003367,anabasine>MESH:D000691	tobacco>4097,Tobacco>4097,patients>9606	31474229
	Biliary Tract>MESH:D001661,Primary Liver Tumors>MESH:D008113,liver tumors>MESH:D008113,carcinogenesis>MESH:D063646				31472913
Apps>1508,apps>1508	wellness goals>MESH:C536693,longitudinal>MESH:D017887			participants>9606	31469081
CDK12>51755,IRS1>3667,ErbB>1956,Cyclin-dependent kinase 12>51755,HER2>2064,CDK12>69131,HER2>13866	breast tumor initiation>MESH:D061325,cancers>MESH:D009369,tumor>MESH:D009369,cancer>MESH:D009369,breast cancer>MESH:D001943,tumors>MESH:D009369			human>9606,patients>9606,mice>10090	31468695
	tumours>MESH:D009369,Drug Sensitivity of Cancer>MESH:D009369			patient>9606	31467181
COPD; 2>544418	Chronic Obstructive Pulmonary Disease>MESH:D029424,hypercapnic respiratory failure>MESH:D012131,chronic obstructive pulmonary disease>MESH:D029424,COPD>MESH:D029424,hypercapnic COPD>MESH:D029424,hypercapnia>MESH:D006935,chronic respiratory failure>MESH:D012131		PICO>No Data,carbon dioxide>MESH:D002245	patients>9606	31467119
	Systemic Lupus Erythematosus>MESH:D008180,Systemic lupus erythematosus>MESH:D008180,SLE>MESH:D008180,autoimmune syndrome>MESH:D001327,inflammation>MESH:D007249,cardiovascular disease>MESH:D002318,atherosclerotic disease>MESH:D050197,hallmarks of late disease morbidity>MESH:D009767,vascular damage>MESH:D014652,vasculopathy>MESH:D055955,atherosclerosis>MESH:D050197			women>9606	31466329
mammalian target of rapamycin>2475,mTOR>2475	Cancer Cell Cytotoxicity>MESH:D009369,cancer>MESH:D009369,cytotoxicity>MESH:D064420		Cyclic Pentamethinium>MESH:D010456,ATP>MESH:D000255,quinoxaline>MESH:D011810,meso-substituted pentamethinium salt>MESH:D034442,1-8C>MESH:C524875,carbon>MESH:D002244,AMP>MESH:D000249		31466233
	AMD>MESH:D006009,dry eye>MESH:D015352			Participants>9606	31465089
	pancreatic cancer>MESH:D010190				31462645
EGFR>1956	neck cancer>MESH:D006258,neck carcinoma>MESH:D006258		MET>MESH:C098756	patients>9606,Patients>9606	31462115
SGLT1>6523,NHE3>6550,SLC26A3>1811,FGF19>9965,FXR>9971	lower functional gastrointestinal disorders>MESH:D005767,gastrointestinal diseases>MESH:D005767,constipation>MESH:D003248,diarrhea>MESH:D003967,abdominal pain>MESH:D015746		bile acid>MESH:D001647,linaclotide>MESH:C523483	patients>9606	31460793
enhancer of zeste homolog 2>2146,EZH2>2146,histone deacetylase>9734,HDAC>9734,Enhancer of zeste homolog 2>2146,HDAC1>3065	non-small cell lung cancer>MESH:D002289,lung cancer>MESH:D008175,lung adenocarcinoma>MESH:C538231,NSCLC>MESH:D002289		MDACC>MESH:C072754,suberoylanilide hydroxamic acid>MESH:C111237,SAHA>MESH:C111237	patients>9606,human>9606,patient>9606,Patients>9606	31456359
p53>7157	Lung Adenocarcinoma>MESH:C538231,tumor>MESH:D009369,lung adenocarcinoma>MESH:C538231,visceral pleural invasion>MESH:D010997,tumors>MESH:D009369			patients>9606	31455678
ERBB2>2064,HER2>2064	tumor>MESH:D009369,cholangiocarcinoma>MESH:D018281,Cholangiocarcinoma>MESH:D018281,extrahepatic cholangiocarcinoma>MESH:D018281				31453370
Apps>1508,apps>1508	cardiovascular diseases>MESH:D002318,cancers>MESH:D009369,respiratory diseases>MESH:D012131,diabetes>MESH:D003920,cancer>MESH:D009369			people>9606,Patient>9606,patients>9606	31452522
	labor>MESH:D048949,psychosocial>MESH:C535569			patients>9606,women>9606	31449691
	Foodborne diseases>MESH:D005517,infections of the gastrointestinal tract>MESH:D005770,WGS>No Data			Listeria monocytogenes>1639,E. coli>562	31447800
				patient>9606	31447247
				patients>9606,participants>9606,participant>9606	31447099
	colorectal cancer>MESH:D015179,tumor>MESH:D009369		formalin>MESH:D005557	patients>9606	31447070
RNA-binding protein>27303,RBP>27303	cancer>MESH:D009369		polyA>MESH:C017937	human>9606,Human>9606	31446897
	endometriosis>MESH:D004715,Endometriosis>MESH:D004715,multifocal disease>No Data,pain>MESH:D010146,endometriosis lesions>MESH:D004715,multidisciplinary endometriosis>MESH:D004715			patients>9606,patient>9606	31446452
	non-small cell lung cancer in Malaysia>MESH:D002289,Malaysia>No Data,non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289			patients>9606	31446227
				patient>9606,patients>9606	31444660
CDK4/6>1019;1021,HER2>2064	breast cancer>MESH:D001943,cancer>MESH:D009369,tumor>MESH:D009369,tumors>MESH:D009369		IMC>MESH:C020760,tyrosine>No Data,cabozantinib>MESH:C558660		31444334
BRAF>673,EGFR>1956,KRAS>3845,NRAS>4893	cancer>MESH:D009369,non-small-cell lung cancer>MESH:D002289		formalin>MESH:D005557,paraffin>MESH:D010232	patient>9606	31443844
epidermal growth factor receptor>1956,EGFR>1956,ALK>238,BRAF>673,ERBB2>2064,STK11>6794,TP53>7157,EML4>27436,KIF5B>3799,RET>5979,CD74>972	Advanced Lung Adenocarcinoma>MESH:C538231,lung adenocarcinoma>MESH:C538231,lymphoma>MESH:D008223,advanced lung adenocarcinoma>MESH:C538231		Tyrosine>No Data	Patients>9606,patients>9606	31443496
CAR>653108	Primary malignant bone tumors>MESH:D001859,osteosarcoma>MESH:D012516,Ewing sarcoma>MESH:D012512,Chondrosarcoma>MESH:D002813,tumors>MESH:D009369,cancer>MESH:D009369,bone cancer>MESH:D001859,tumor>MESH:D009369,bone tumors>MESH:D001859		silver>MESH:D012834	patient>9606	31441962
	bladder cancer>MESH:D001749,cancer>MESH:D009369,toxicity>MESH:D064420,urothelial cancer>MESH:D014523		PRO-CTCAE>MESH:C098830,PRO>MESH:C098830	Patient>9606,patients>9606,patient>9606	31440865
	PD>MESH:D010300			participant>9606	31440341
				patient>9606	31438372
				Patient>9606,patients>9606,patient>9606,people>9606	31438157
				Patients>9606,patient>9606	31438034
	cancer>MESH:D009369,cardiovascular multi-morbidities>MESH:D002318,cardiovascular disease>MESH:D002318,obesity>MESH:D009765			Patient>9606,patient>9606	31436465
				Children>9606,children>9606	31431902
	Biliary tract cancer>MESH:D001661,intrahepatic cholangiocarcinoma>MESH:C535533,extrahepatic cholangiocarcinoma>MESH:D018281,gallbladder cancer>MESH:D005706,tumors>MESH:D009369		cisplatin>MESH:D002945,gemcitabine>MESH:C056507	patients>9606	31431036
	obesity>MESH:D009765,obese>MESH:D009765			Children>9606,children>9606	31430200
				patient>9606,persons>9606	31429751
	Viral Diseases>MESH:D014777,viral infectious diseases>MESH:D014777				31428595
TP53>7157,KRAS>3845,EGFR>1956,PIK3CA>5290	Cancer>MESH:D009369,cancer>MESH:D009369,non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,colorectal cancer>MESH:D015179,NGS implementation>No Data		UNE-EN ISO 15189>MESH:C471502	patients>9606	31426418
	tennis coaches>MESH:C536430				31425037
				Ecklonia radiata>309355,urchin>7656	31424534
TP53>7157,KRAS>3845,PIK3CA>5290,mammalian target of rapamycin>2475,mTOR>2475,epidermal growth factor receptor>1956,EGFR>1956,PDGFRalpha>5156	cancers>MESH:D009369,tumour>MESH:D009369,cancer>MESH:D009369,metastatic solid tumours>MESH:D009369,multidisciplinary tumour board>MESH:D009369,colorectal cancer>MESH:D015179,non-Hodgkin's lymphomas>MESH:D008228,head and neck cancers>MESH:D006258,solid tumours>MESH:D009369			patients>9606,patient>9606	31423337
				cows>9913	31423028
colorectal cancer/polyp (CRC/P>27297,HFE>3077	Colorectal Cancer>MESH:D015179,Polyps>MESH:D011127,colorectal cancer>MESH:D015179,adenomatous colon polyps>MESH:D018256,colon polyps>MESH:D003111,polyps>MESH:D011127,colon cancer>MESH:D015179,hemochromatosis>MESH:D006432,cardiovascular disease>MESH:D002318			participants>9606	31422818
BRCA1>672,BRCA>672;675,BRCA1/2>672;675,CHEK2>11200	breast and ovarian cancer>MESH:D061325,non-cancer>MESH:D009369,cancer>MESH:D009369,Cancer>MESH:D009369,hereditary breast and ovarian cancer>MESH:D061325,neurodevelopmental disorders>MESH:D002658,NDDs>No Data,hypomorphic HBOC>MESH:D061325		ACGM-AMP>MESH:D000249	patients>9606	31422574
	heart failure>MESH:D006333,hospitals>MESH:D003428		MeSH>MESH:C014393	patients>9606,patient>9606	31419833
	Philadelphia District Attorney's>MESH:D010677,labor unions>MESH:D017759,labor>MESH:D048949			patient>9606	31418880
				patient>9606	31418068
				human>9606	31416259
BRCA1/2>672;675	ovarian and prostate cancer>MESH:D010051,cancer>MESH:D009369,breast, ovarian and/or prostate cancer>MESH:D010051,prostate cancer>MESH:D011471,Alabama Hereditary Cancer Cohort>MESH:D009386,hereditary cancer>MESH:D009386				31415627
	gout>MESH:D006073		urate>MESH:D014527	Patients>9606,patients>9606,patient>9606	31415480
	prioritisation of fundamental lupus challenges>MESH:D008180,autoimmune disease>MESH:D001327,initiative>MESH:D007319			people>9606	31413854
			xTAG  RVP>MESH:C069631	patients>9606	31413077
delta-like 3 ligand>10683,DLL3>10683,epithelial cell adhesion molecule 1>4072,EpCAM>4072,cytokeratin 19>3880,CK19>3880,chromogranin A>1113,CHGA>1113	Tumor>MESH:D009369,Small-Cell Lung Cancer>MESH:D055752,small-cell lung cancer>MESH:D055752,SCLC>MESH:D018288,tumor>MESH:D009369,lung cancer>MESH:D008175			Patients>9606,patients>9606,patient>9606	31412616
miR-876>100126310,BCL-XL>598,caspase 3>836	tumor>MESH:D009369,cholangiocarcinoma>MESH:D018281,Cholangiocarcinoma>MESH:D018281,invasive malignancy>MESH:D009361,tumors>MESH:D009369			patient>9606	31409772
	diabetes mellitus>MESH:D003920,diabetes>MESH:D003920,hypoglycemia>MESH:D007003		sugar>MESH:D002241	patient>9606,Patient>9606	31408087
BRCA1/2>672;675,BRCA1>672	hereditary cancer>MESH:D009386,cancer>MESH:D009369,ovarian>MESH:D010049,pancreatic>MESH:D010195,melanoma>MESH:D008545,ovarian cancer>MESH:D010051,Lynch syndrome>MESH:D003123,cancers>MESH:D009369			patients>9606	31406321
				patient>9606,patients>9606	31405880
				patient>9606,outpatient>9606,Patient>9606,patients>9606	31405584
KRAS>3845	KRAS-Driven Lung Adenocarcinoma>MESH:C538231,Non-small-cell lung cancer>MESH:D002289,adenocarcinoma>MESH:D000230,AD>MESH:D000544,squamous cell carcinoma>MESH:D002294,malignancies>MESH:D009369,malignancy>MESH:D009369,inflammation>MESH:D007249,tumor>MESH:D009369			patients>9606	31405063
	infection>MESH:D007239			human>9606,humans>9606,Hendra virus>63330,Plasmodium knowlesi>5850	31401958
FGFR2>2263,adipophilin>123,androgen receptor>367,AR>367,fibroblast growth factor receptor 2>2263	thymic sebaceous carcinoma>MESH:D013945,thymus tumours>MESH:D013953,thymomas>MESH:D013945,thymic carcinomas>MESH:D013945,thymic carcinoma>MESH:D013945,sebaceous carcinomas>MESH:D018266,sebaceous carcinoma>MESH:D018266,carcinomas>MESH:D002277				31401665
	Niagara Falls>MESH:C537863,QIPS education>No Data			Patient>9606,patient>9606,patients>9606	31397709
	Prostate cancer>MESH:D011471,malignancy>MESH:D009369,cancer death>MESH:D003643			men>9606	31397038
FHH>846				patient>9606,Patient>9606	31395442
				HIV>12721,Human>9606,human immunodeficiency virus>12721,human>9606	31395146
	tumor>MESH:D009369,tumors>MESH:D009369		TCPA>MESH:C096193	patients>9606	31393003
	Trauma>MESH:D014947,hemorrhage>MESH:D006470,learning about injury mitigation>MESH:D007859,trauma>MESH:D014947,teaching hemorrhage>MESH:D006470			participants>9606,Participants>9606	31392282
				patient>9606	31391646
DCPS>69305	acute myeloid leukemia>MESH:D015470,Acute myeloid leukemia>MESH:D015470,AML>MESH:D015470,leukemia>MESH:D007938		RG3039>MESH:C587914	mouse>10090	31391371
	Neck Squamous Cell Carcinoma>MESH:C535575,neck squamous cell carcinoma>MESH:C535575,tumors>MESH:D009369,head and neck squamous cell carcinoma>MESH:C535575		Crizotinib>MESH:C551994,platinum>MESH:D010984,CGP>MESH:C428863,MET tyrosine>MESH:C098756,crizotinib>MESH:C551994	Patient>9606,patient>9606	31391294
prostate-specific antigen (PSA)>354,PSA>354	pulmonary-only metastatic prostate cancer>MESH:D011471,prostate cancer>MESH:D011471,hormone-naive prostate cancer>MESH:D011471,metastases>MESH:D009362		androgen>MESH:D000728	patient>9606,patients>9606,men>9606	31389628
	endometrial cancer>MESH:D016889,Endometrial cancer>MESH:D016889,tumour>MESH:D009369,endometrial cancers>MESH:D016889,carcinomas>MESH:D002277,sarcomas>MESH:D012509,Endometrial carcinomas>MESH:D016889,clear cell carcinomas>MESH:D002292			women>9606,patients>9606	31388127
	stroke>MESH:D020521,ischemic>MESH:D007511,cohort>No Data,cardiac thrombus>MESH:D013927,patent foramen ovale>MESH:D054092,atrial myxoma>MESH:C538262,valvular vegetation>MESH:D006349,Patent foramen ovale>MESH:D054092,dyslipidemia>MESH:D050171		PFO>MESH:C542782	patients>9606,patient>9606	31387955
EGFR>1956,ErbB3>2065,AKT>207	Head and Neck Squamous Cell Carcinoma>MESH:C535575,neck squamous cell carcinoma>MESH:C535575,carcinoma>MESH:D002277,tumor>MESH:D009369		CDX-3379>MESH:C558237	patients>9606,xenografts>1383439	31387891
	Head and Neck Cancer>MESH:D006258,Head and neck cancer>MESH:D006258,HNC>MESH:D006258,tumour>MESH:D009369			patients>9606,patient>9606	31387228
HRAS>3265,NRAS>4893,KRAS>3845	cancer>MESH:D009369,heart and brain diseases>MESH:D006331		Cysteine>MESH:D003545,oxygen>MESH:D010100,nitrogen>MESH:D009584,Cys>MESH:C046557	human>9606	31386964
	Tumor>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369			patient>9606	31386607
	alcohol dependence syndrome>MESH:D000437		Alcohol>MESH:D000431,alcohol>MESH:D000431	patients>9606,patient>9606,Patients>9606	31386599
	nervous system malignancies>MESH:D009423,cancer>MESH:D009369,brain tumors>MESH:D001932,Cancer>MESH:D009369,brain tumor>MESH:D001932			patients>9606,Patients>9606	31386081
TP53>7157,SMAD2>4087,SMAD4>4089,SMAD7>4092	breast cancers>MESH:D001943,breast cancer>MESH:D001943,RD>No Data,chemorefractory RD tumors>MESH:D009369,RD tumors>MESH:D009369,tumors>MESH:D009369,cancers>MESH:D009369		NAC>MESH:C086501	patients>9606	31383035
NRG1>3084,EGFR>1956,ALK>238,RET>5979,ROS1>6098,KRAS>3845,HER2>2064,BRAF>673,CD74>972,RBPMS>11030,ITGB1>3688,SHC1>6464,CD47>961	lung adenocarcinomas>MESH:C538231,lung cancer>MESH:D008175,tumors>MESH:D009369,lung adenocarcinoma>MESH:C538231,invasive mucous adenocarcinoma>MESH:D000230,adenocarcinoma>MESH:D000230			patients>9606	31382039
				children>9606,person>9606,child>9606,Children>9606,participants>9606	31381502
Tox>9760	CNS disorders>MESH:D001928			human>9606,patients>9606	31379482
	cancer>MESH:D009369,fatigue>MESH:D005221,pain>MESH:D010146			people>9606,person>9606,Participants>9606,participants>9606	31379069
	cancer>MESH:D009369,tumor>MESH:D009369				31378590
			Alcohol>MESH:D000431,alcohol>MESH:D000431	patients>9606,patient>9606	31378277
	HIV infection>MESH:D015658			Patient>9606,patients>9606,patient>9606,people>9606,PRR1>12024	31376275
	tumor>MESH:D009369			Patients>9606,PATIENTS>9606,patients>9606	31373836
				patients>9606	31372505
	Postoperative urinary tract infection>MESH:D014552			patient>9606,patients>9606	31371099
	fitness training routines>MESH:D012640			Human>9606,human>9606	31368834
EGFR>1956	non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,cancer>MESH:D009369		formalin>MESH:D005557		31367517
	diabetes>MESH:D003920,hypertension>MESH:D006973,Diabetes>MESH:D003920,Hypertension>MESH:D006973,Neighborhood deprivation>MESH:D012892			patients>9606,patient>9606	31367515
PTGS2>5743,COX-2>4513,CD274>29126,PD-L1>29126	tumors>MESH:D009369,breast cancer>MESH:D001943,tumor>MESH:D009369,breast tumors>MESH:D061325,breast cancers>MESH:D001943		medroxyprogesterone acetate>MESH:D017258,MPA>MESH:C051945,7,12-dimethylbenzanthracene>MESH:D015127,DMBA>MESH:D015127	mouse>10090,mice>10090,human>9606,murine>10090,Human>9606	31366361
	tuberculosis>MESH:D014376,British Columbia>MESH:C538208,WGS>No Data			Mycobacterium tuberculosis>1773	31364521
TP53>7157,EGFR>1956,ARID1A>8289,MYC>4609,NF1>4763,BRAF>673,ERBB2>2064,CCNE1>898,PIK3CA>5290,CDK6>1021,KRAS>3845	Hepatocellular Carcinoma>MESH:D006528,hepatocellular carcinoma>MESH:D006528,tumor>MESH:D009369,Hepatitis B>MESH:D006509			patients>9606,men>9606,patient>9606	31363003
	cancer>MESH:D009369,tumor>MESH:D009369		ondansetron>MESH:D017294,capecitabine>MESH:C110904,sertraline>MESH:D020280	patients>9606,Patients>9606,outpatient>9606,patient>9606	31361818
CDK12>51755,v4.1>28783	tumors>MESH:D009369,ovarian>MESH:D010049,prostate cancers>MESH:D011471,cancer>MESH:D009369,bladder cancer>MESH:D001749,cancers>MESH:D009369,prostate cancer>MESH:D011471,bladder cancers>MESH:D001749			patients>9606	31360735
	cryptococcal meningitis>MESH:D016919,Cryptococcal meningitis>MESH:D016919,HIV>MESH:D015658,deficits regarding cryptococcal meningitis>MESH:D016919,meningitis>MESH:D008581			patients>9606,patient>9606	31360635
KCNH2>3757	Long QT Syndrome>MESH:D008133			participants>9606,participant>9606,human>9606	31358886
	arthritis>MESH:D001168,rheumatoid arthritis>MESH:D001172,inflamed joints>MESH:C531841,RA>MESH:D001172,allergic>MESH:D004342,cardiovascular diseases>MESH:D002318			mouse>10090,human>9606,patients>9606	31358043
BRCA1/2>672;675	tumor>MESH:D009369,hereditary cancer>MESH:D009386,cancer>MESH:D009369			patient>9606,patients>9606	31357515
	pain>MESH:D010146		codeine>MESH:D003061,tramadol>MESH:D014147	Patients>9606,patients>9606,person>9606	31355374
hot>137872	cancer>MESH:D009369				31353977
PIK3CA>5290,KRAS>3845,ERBB2>2064,CDKN2A>1029	cancers>MESH:D009369,tumour>MESH:D009369,molecular tumour board>MESH:D009369,cancer>MESH:D009369			patients>9606	31351267
